X,Y,Z_prev,variance_ratio,Variance_sq,is_improving,direction,dVariance_abs,target_step
-13000,-4333,3320,1,682.5787817,0,1,0,-2400
-13000,-4333,3520,1.000243627,682.9114113,1,1,0.006365046,-2600
-13000,-4333,3520,1,688.798983,0,1,0,-2600
-13000,-4333,3720,0.991528214,677.1777044,0,1,0.222341842,-2800
-13000,-4333,100,1,3651.674706,0,1,0,820
-13000,-4333,300,1.023070678,3822.111557,1,1,1.394140054,620
-13000,-4333,100,1,3621.563774,0,1,0,820
-13000,-4333,300,1.039356843,3912.240071,1,1,2.368472393,620
-13000,-4333,3720,1,672.6048936,0,1,0,-2800
-13000,-4333,3920,1.000414188,673.1621794,1,1,0.010741823,-3000
-13000,-4333,3920,1,724.9368965,0,1,0,-3000
-13000,-4333,4120,0.986431407,705.3976145,0,1,0.365329654,-3200
-13000,-4333,100,1,3257.390815,0,1,0,820
-13000,-4333,300,1.046390724,3566.626481,1,1,2.6476836,620
-13000,-4333,100,1,3703.57636,0,1,0,820
-13000,-4333,300,1.004510259,3737.059875,1,1,0.274480882,620
-13000,-4333,4120,1,708.4112268,0,1,0,-3200
-13000,-4333,4320,0.994606956,700.7908448,0,1,0.143541241,-3400
-13000,-4333,100,1,3790.061586,0,1,0,820
-13000,-4333,300,1.038948444,4091.045041,1,1,2.397801598,620
-13000,-4333,4320,1,649.5380536,0,1,0,-3400
-13000,-4333,4520,0.994712491,642.6873364,0,1,0.134757651,-3600
-13000,-4333,4520,1,637.4399645,0,1,0,-3600
-13000,-4333,4720,0.99319071,628.7884928,0,1,0.171918057,-3800
-13000,-4333,100,1,3648.920823,0,1,0,820
-13000,-4333,300,1.012516939,3740.83915,1,1,0.756101933,620
-13000,-4333,100,1,3390.496006,0,1,0,820
-13000,-4333,300,1.047384997,3719.426099,1,1,2.759131967,620
-13000,-4333,4720,1,643.7207331,0,1,0,-3800
-13000,-4333,4920,0.998961265,642.3841169,0,1,0.026354426,-4000
-13000,-4333,4920,1,626.3741824,0,1,0,-4000
-13000,-4333,5120,1.001162947,627.8319097,1,1,0.029105623,-4200
-13000,-4333,100,1,3698.704224,0,1,0,820
-13000,-4333,300,1.02686387,3900.096481,1,1,1.633779291,620
-13000,-4333,100,1,3578.557325,0,1,0,820
-13000,-4333,300,1.057152676,3999.294681,1,1,3.418932753,620
-13000,-4333,6920,1,725.0947908,0,1,0,-6000
-13000,-4333,7120,0.979273202,695.3485059,0,1,0.558122584,-6200
-13000,-4333,100,1,3153.219248,0,1,0,820
-13000,-4333,300,1.055721899,3514.416504,1,1,3.128981504,620
-13000,-4333,8920,1,674.2975529,0,1,0,-8000
-13000,-4333,9120,1.014955488,694.6172691,1,1,0.388352754,-8200
-13000,4333,474,1,8164.887269,0,1,0,0
-13000,4333,674,0.755661788,4662.352618,0,1,22.07834356,-200
-13000,4333,479,1,5891.23564,0,1,0,-5
-13000,4333,679,1.03328999,6290.002795,1,1,2.555152707,-205
-13000,4333,469,1,7855.850486,0,1,0,5
